GENE	EVENT	LENGTH	Huvec1_1	Huvec1_1-Q	Huvec2_1	Huvec2_1-Q	HepG2_1_1	HepG2_1_1-Q	HepG2_2_1	HepG2_2_1-Q
DPM1	HsaALTA0002631-1/2	0	100.00	Pass	96.00	Pass	96.09	Pass	98.32	Pass
DPM1	HsaALTA0002631-2/2	22	0.00	Pass	4.00	Pass	3.91	Pass	1.68	Pass
SCYL3	HsaALTA0007537-1/2	0	100.00	Fail	85.71	Fail	75.00	Fail	77.78	Fail
SCYL3	HsaALTA0007537-2/2	89	0.00	Fail	14.29	Fail	25.00	Fail	22.22	Fail
C1orf112	HsaALTA0001158-1/2	0	8.00	Pass	22.22	Fail	5.26	Fail	60.00	Fail
C1orf112	HsaALTA0001158-2/2	37	92.00	Pass	77.78	Fail	94.74	Fail	40.00	Fail
FGR	HsaALTA0003359-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FGR	HsaALTA0003359-2/2	3	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GCLC	HsaALTA0003607-1/2	0	0.00	Fail	0.00	Fail	2.06	Pass	0.00	Pass
GCLC	HsaALTA0003607-2/2	5	100.00	Fail	100.00	Fail	97.94	Pass	100.00	Pass
GCLC	HsaALTA0003608-1/2	0	100.00	Fail	100.00	Fail	97.62	Pass	100.00	Pass
GCLC	HsaALTA0003608-2/2	35	0.00	Fail	0.00	Fail	2.38	Pass	0.00	Pass
NFYA	HsaALTA0005715-1/2	0	27.25	Pass	38.91	Pass	100.00	Fail	0.00	Fail
NFYA	HsaALTA0005715-2/2	3	72.75	Pass	61.09	Pass	0.00	Fail	100.00	Fail
LAS1L	HsaALTA0004709-1/2	0	0.00	Fail	0.00	Fail	100.00	Fail	NA	Fail
LAS1L	HsaALTA0004709-2/2	3	100.00	Fail	100.00	Fail	0.00	Fail	NA	Fail
SEMA3F	HsaALTA0007597-1/3	0	1.20	Pass	1.32	Pass	0.00	Fail	0.00	Fail
SEMA3F	HsaALTA0007597-2/3	109	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
SEMA3F	HsaALTA0007597-3/3	117	98.80	Pass	98.68	Pass	100.00	Fail	100.00	Fail
ANKIB1	HsaALTA0000439-1/2	0	3.85	Pass	14.81	Pass	0.00	Pass	4.17	Pass
ANKIB1	HsaALTA0000439-2/2	4	96.15	Pass	85.19	Pass	100.00	Pass	95.83	Pass
KRIT1	HsaALTA0004644-1/2	0	15.79	Fail	30.43	Fail	34.48	Fail	51.28	Fail
KRIT1	HsaALTA0004644-2/2	37	84.21	Fail	69.57	Fail	65.52	Fail	48.72	Fail
