GENE	EVENT	LENGTH	SF3B1_mutated_sample_1_1	SF3B1_mutated_sample_1_1-Q	SF3B1_mutated_sample_2_1	SF3B1_mutated_sample_2_1-Q	SF3B1_mutated_sample_3_1	SF3B1_mutated_sample_3_1-Q	SF3B1_mutated_sample_4_1	SF3B1_mutated_sample_4_1-Q	SF3B1_mutated_sample_5_1	SF3B1_mutated_sample_5_1-Q	SF3B1_mutated_sample_6_1	SF3B1_mutated_sample_6_1-Q	SF3B1_mutated_sample_7_1	SF3B1_mutated_sample_7_1-Q	SF3B1_mutated_sample_8_1	SF3B1_mutated_sample_8_1-Q	SF3B1_wildtype_sample_1_1	SF3B1_wildtype_sample_1_1-Q	SF3B1_wildtype_sample_2_1	SF3B1_wildtype_sample_2_1-Q	SF3B1_wildtype_sample_3_1	SF3B1_wildtype_sample_3_1-Q	SF3B1_wildtype_sample_4_1	SF3B1_wildtype_sample_4_1-Q
TSPAN6	HsaALTD0006854-1/2	0	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail
TSPAN6	HsaALTD0006854-2/2	417	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail
DPM1	HsaALTD0002019-1/2	0	33.98	Fail	82.42	Fail	66.67	Fail	41.67	Fail	69.89	Pass	76.92	Fail	90.36	Fail	75.76	Fail	83.33	Fail	84.16	Fail	100.00	Fail	61.64	Fail
DPM1	HsaALTD0002019-2/2	24	66.02	Fail	17.58	Fail	33.33	Fail	58.33	Fail	30.11	Pass	23.08	Fail	9.64	Fail	24.24	Fail	16.67	Fail	15.84	Fail	0.00	Fail	38.36	Fail
FGR	HsaALTD0002561-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Pass	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail
FGR	HsaALTD0002561-2/2	5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Pass	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail
NFYA	HsaALTD0004302-1/2	0	66.67	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	3.85	Pass	14.29	Fail	6.67	Fail	0.00	Fail	18.18	Fail	18.18	Pass	0.00	Fail
NFYA	HsaALTD0004302-2/2	3	33.33	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	96.15	Pass	85.71	Fail	93.33	Fail	100.00	Fail	81.82	Fail	81.82	Pass	100.00	Fail
C1orf201	HsaALTD0000903-1/2	0	NA	Fail	100.00	Fail	100.00	Fail	75.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	91.67	Fail	100.00	Pass	100.00	Fail
C1orf201	HsaALTD0000903-2/2	35	NA	Fail	0.00	Fail	0.00	Fail	25.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	8.33	Fail	0.00	Pass	0.00	Fail
