GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	2C_Embryo1	2C_Embryo1-Q	2C_Embryo2	2C_Embryo2-Q	2C_Embryo3	2C_Embryo3-Q	4C_Embryo1	4C_Embryo1-Q	4C_Embryo2	4C_Embryo2-Q	4C_Embryo3	4C_Embryo3-Q
DPM1	HsaALTA0002631-1/2	chr20:49557402-49557470	0	chr20:49558568,49557402-49557492+49557470	Alt3	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	88.02	Pass	100.00	Pass
DPM1	HsaALTA0002631-2/2	chr20:49557402-49557492	22	chr20:49558568,49557402-49557492+49557470	Alt3	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	11.98	Pass	0.00	Pass
SCYL3	HsaALTA0007537-1/2	chr1:169838069-169838180	0	chr1:169839396,169838069-169838269+169838180	Alt3	100.00	Fail	100.00	Fail	75.00	Fail	100.00	Fail	0.00	Fail	100.00	Pass
SCYL3	HsaALTA0007537-2/2	chr1:169838069-169838269	89	chr1:169839396,169838069-169838269+169838180	Alt3	0.00	Fail	0.00	Fail	25.00	Fail	0.00	Fail	100.00	Fail	0.00	Pass
C1orf112	HsaALTA0001158-1/2	chr1:169773253-169773381	0	chr1:169772450,169773253+169773216-169773381	Alt3	0.00	Fail	33.33	Fail	25.00	Fail	0.00	Fail	2.56	Pass	38.46	Fail
C1orf112	HsaALTA0001158-2/2	chr1:169773216-169773381	37	chr1:169772450,169773253+169773216-169773381	Alt3	100.00	Fail	66.67	Fail	75.00	Fail	100.00	Fail	97.44	Pass	61.54	Fail
FGR	HsaALTA0003359-1/2	chr1:27950356-27950437	0	chr1:27951600,27950356-27950440+27950437	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FGR	HsaALTA0003359-2/2	chr1:27950356-27950440	3	chr1:27951600,27950356-27950440+27950437	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GCLC	HsaALTA0003607-1/2	chr6:53380907-53381015	0	chr6:53385576,53380907-53381020+53381015	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail
GCLC	HsaALTA0003607-2/2	chr6:53380907-53381020	5	chr6:53385576,53380907-53381020+53381015	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail
GCLC	HsaALTA0003608-1/2	chr6:53379237-53379295	0	chr6:53380907,53379237-53379330+53379295	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
GCLC	HsaALTA0003608-2/2	chr6:53379237-53379330	35	chr6:53380907,53379237-53379330+53379295	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
