GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	2C_Embryo1	2C_Embryo1-Q	2C_Embryo2	2C_Embryo2-Q	2C_Embryo3	2C_Embryo3-Q	4C_Embryo1	4C_Embryo1-Q	4C_Embryo2	4C_Embryo2-Q	4C_Embryo3	4C_Embryo3-Q
TSPAN6	HsaALTD0006854-1/2	chrX:99891605-99891686	0	chrX:99891605+99891188-99891686,99890743	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TSPAN6	HsaALTD0006854-2/2	chrX:99891188-99891686	417	chrX:99891605+99891188-99891686,99890743	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
DPM1	HsaALTD0002019-1/2	chr20:49557666-49557746	0	chr20:49557666+49557642-49557746,49557470	Alt5	100.00	Fail	78.95	Fail	75.00	Fail	100.00	Fail	87.55	Pass	93.75	Pass
DPM1	HsaALTD0002019-2/2	chr20:49557642-49557746	24	chr20:49557666+49557642-49557746,49557470	Alt5	0.00	Fail	21.05	Fail	25.00	Fail	0.00	Fail	12.45	Pass	6.25	Pass
FGR	HsaALTD0002561-1/2	chr1:27950207-27950437	0	chr1:27950207+27950202-27950437,27949655	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FGR	HsaALTD0002561-2/2	chr1:27950202-27950437	5	chr1:27950207+27950202-27950437,27949655	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NFYA	HsaALTD0004302-1/2	chr6:41048553-41048633	0	chr6:41048553-41048633+41048636,41051785	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NFYA	HsaALTD0004302-2/2	chr6:41048553-41048636	3	chr6:41048553-41048633+41048636,41051785	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
C1orf201	HsaALTD0000903-1/2	chr1:24710392-24710493	0	chr1:24710392+24710357-24710493,24706313	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
C1orf201	HsaALTD0000903-2/2	chr1:24710357-24710493	35	chr1:24710392+24710357-24710493,24706313	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
C1orf201	HsaALTD0000904-1/2	chr1:24740164-24740215	0	chr1:24740164+24740056-24740215,24737307	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
C1orf201	HsaALTD0000904-2/2	chr1:24740056-24740215	108	chr1:24740164+24740056-24740215,24737307	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
SEMA3F	HsaALTD0005758-1/2	chr3:50192844-50192997	0	chr3:50192844-50192997+50193276,50197008	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SEMA3F	HsaALTD0005758-2/2	chr3:50192844-50193276	279	chr3:50192844-50192997+50193276,50197008	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ANKIB1	HsaALTD0000311-1/2	chr7:92020484-92020654	0	chr7:92020484-92020654+92020658,92021555	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail
ANKIB1	HsaALTD0000311-2/2	chr7:92020484-92020658	4	chr7:92020484-92020654+92020658,92021555	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail
KRIT1	HsaALTD0003518-1/2	chr7:91875158-91875167	0	chr7:91875158+91875136-91875167,91874485	Alt5	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
KRIT1	HsaALTD0003518-2/2	chr7:91875136-91875167	22	chr7:91875158+91875136-91875167,91874485	Alt5	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
KRIT1	HsaALTD0003519-1/2	chr7:91873330-91873415	0	chr7:91873330+91873316-91873415,91871451	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass
KRIT1	HsaALTD0003519-2/2	chr7:91873316-91873415	14	chr7:91873330+91873316-91873415,91871451	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass
KRIT1	HsaALTD0003520-1/2	chr7:91874779-91874888	0	chr7:91874779+91874741-91874888,91871451	Alt5	20.99	Pass	26.87	Pass	18.52	Fail	0.00	Pass	NA	Fail	37.53	Pass
KRIT1	HsaALTD0003520-2/2	chr7:91874741-91874888	38	chr7:91874779+91874741-91874888,91871451	Alt5	79.01	Pass	73.13	Pass	81.48	Fail	100.00	Pass	NA	Fail	62.47	Pass
RAD52	HsaALTD0005260-1/2	chr12:1058772-	0	chr12:1058772+1058768-,1042242	Alt5	0.00	Fail	100.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail
RAD52	HsaALTD0005260-2/2	chr12:1058768-	4	chr12:1058772+1058768-,1042242	Alt5	100.00	Fail	0.00	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail
RAD52	HsaALTD0005261-1/2	chr12:1023597-1023698	0	chr12:1023597+1023577-1023698,1023287	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	90.91	Fail	94.44	Fail
RAD52	HsaALTD0005261-2/2	chr12:1023577-1023698	20	chr12:1023597+1023577-1023698,1023287	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	9.09	Fail	5.56	Fail
RAD52	HsaALTD0005262-1/2	chr12:1039217-1039310	0	chr12:1039217+1039139-1039310,1039052	Alt5	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
